word_to_learn;meaning;interval;last_review;next_review;known_word;learned_on;add_on_known_words;translation;row;audio
veras;Realidad, verdad en lo que se dice o hace. f. pl.;6;2023-07-15;2023-08-19;;;;tu verras;36;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ve/veras_es_us_1.mp3
conejo;Mamífero del orden de los lagomorfos, de unos 40 cm de largo, comprendida la cola, de pelaje espeso de color ordinariamente gris, orejas muy largas, patas posteriores más largas que las anteriores, cola muy corta, que vive en madrigueras, se domestica fácilmente y es apreciado por su carne y su pelo.;5;2023-07-15;2023-08-12;;;;lapin;37;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/co/conejo_es_us_1.mp3
memorias;f. Facultad psíquica por medio de la cual se retiene y recuerda el pasado.;6;2023-07-15;2023-08-19;;;;souvenirs;38;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/me/memorias_es_us_1.mp3
vuelves;:Dar(se) la vuelta:, :regresar al punto de partida: y :dar, o tomar, un aspecto o carácter diferente al que (se) tenía:. Verbo irregular: se conjuga como mover. Su participio es también irregular: vuelto.;5;2023-07-22;2023-08-19;;;;N/A;39;N/A
dirá;tr. Denotar algo o dar muestras de ello.;6;2023-07-22;2023-08-26;;;;dira;40;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/de/decir_es_us_1.mp3
tafeta;Tela delgada de seda, muy tupida. 2.;1;2023-05-31;2023-06-04;1;2023-05-31;;N/A;41;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ta/tafeta_es_us_1.mp3
pecho;Parte superior del tronco del cuerpo humano, que se extiende desde el cuello hasta el abdomen y en la cual se encuentran el corazón y los pulmones.;3;2023-07-24;2023-08-07;;;;buste;42;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/pe/pecho_es_us_1.mp3
ayer;En el día anterior al día de hoy.;1;2023-05-31;2023-06-04;1;2023-05-31;;hier;43;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ay/ayer_es_us_1.mp3
miras;f. Intención, objeto o propósito, generalmente concreto.;6;2023-07-22;2023-08-26;;;;regarder;44;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/mi/miras_es_us_1.mp3
patio;m. Espacio cerrado con paredes o galerías, que en las casas y otros edificios se suele dejar al descubierto. 2.;4;2023-07-15;2023-08-05;;;;cour;45;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/pa/patio_es_us_1.mp3
saco;Recipiente de tela, papel u otro material flexible, de forma rectangular o cilíndrica y abierta por uno de los lados, que sirve para meter y guardar o transportar cosas en ella.;5;2023-07-22;2023-08-19;;;;manteau;46;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/sa/saco_es_us_1.mp3
baja;Disminución de la magnitud, el nivel, la cuantía, el valor o el precio de una cosa.;4;2023-07-29;2023-08-19;;;;faible;47;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ba/baja_es_us_1.mp3
pies;pes, pedis. m. Extremidad de cada uno de los dos miembros inferiores del cuerpo humano.;1;2023-05-31;2023-06-04;1;2023-05-31;;pieds;48;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/pi/pies_es_us_1.mp3
veladoras;Lámpara o luz portátil que suele colocarse en la mesita de noche. 10. f.;3;2023-08-02;2023-08-16;;;;N/A;49;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ve/veladoras_es_us_1.mp3
tuya;Árbol de la familia del ciprés, de madera duradera y resistente, hojas escamosas y fragantes, y fruto en piñas pequeñas y lisas.;5;2023-07-22;2023-08-19;;;;le vôtre;50;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/tu/tuya_es_us_1.mp3
abiertos;adj. No murado, no cercado. 3.;6;2023-07-30;2023-09-03;;;;ouvrir;51;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ab/abiertos_es_us_1.mp3
sigues;tr. Proseguir o continuar en lo empezado.;3;2023-07-22;2023-08-05;;;;es-tu encore;52;N/A
pones;tr. Colocar en un sitio o lugar a alguien o algo.;5;2023-07-22;2023-08-19;;;;mettre, poser;53;N/A
desnudo;Que no lleva ropa o lleva muy poca.;5;2023-07-22;2023-08-19;;;;nu;54;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/de/desnudo_es_us_1.mp3
entras;intr. Ir o pasar de fuera adentro.;5;2023-07-23;2023-08-20;;;;N/A;55;N/A
muro;Muro u obra defensiva que rodea una plaza fuerte o protege un territorio.;3;2023-07-22;2023-08-05;;;;N/A;56;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/mu/muro_es_us_1.mp3
alrededor;Rodeando completamente a alguien o algo, o en varios lugares situados cerca y en todas las direcciones desde un punto que se toma como referencia.;5;2023-07-18;2023-08-15;;;;autour;57;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/al/alrededor_es_us_1.mp3
dientes;Pieza ósea dura y blanca que crece, junto con otras, en la boca del ser humano y otros vertebrados, que sirve para cortar o masticar los alimentos y, en los animales, también para defenderse: especialmente, la que está en la parte delantera de la boca, por oposición a las muelas.;1;2023-05-31;2023-06-04;1;2023-05-31;;dents;58;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/di/dientes_es_us_1.mp3
d;Cuarta letra del alfabeto español: representa una consonante dental, oclusiva y sonora. Su nombre es de.;1;2023-05-31;2023-06-04;1;2023-05-31;;d;59;N/A
lees;:Pasar la vista por [un texto escrito] para descifrarlo y comprender su significado:.;1;2023-05-31;2023-06-04;1;2023-05-31;;Tu lis;60;N/A
anuncio;Conjunto de palabras o signos con que se anuncia algo. m. Soporte visual o auditivo en que se transmite un mensaje publicitario.;1;2023-05-31;2023-06-04;1;2023-05-31;;N/A;61;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/an/anuncio_es_us_1.mp3
dejas;tr. Retirarse o apartarse de algo o de alguien.;3;2023-07-31;2023-08-14;;;;laisser;62;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/de/dejas_es_us_1.mp3
juventud;Período de la vida de la persona comprendido entre la infancia y la madurez.;1;2023-06-18;2023-06-22;1;2023-06-18;;jeunesse;63;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ju/juventud_es_us_1.mp3
esperas;Acción de esperar.;1;2023-06-18;2023-06-22;1;2023-06-18;;tu attends;64;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/es/esperas_es_us_1.mp3
des;Indica exceso o demasía. Deslenguado.;4;2023-07-23;2023-08-13;;;;dés;65;N/A
sido;N/A;5;2023-07-08;2023-08-07;;;;a été;66;N/A
cierras;N/A;3;2023-07-25;2023-08-08;;;;vous fermez;67;N/A
pasos;m. Movimiento sucesivo de ambos pies al andar.;5;2023-07-22;2023-08-19;;;;Pas;68;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/pa/pasos_es_us_1.mp3
olor;Emanación volátil de ciertos cuerpos que se percibe a través del sentido del olfato.;6;2023-07-22;2023-08-26;;;;odeur;69;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ol/olor_es_us_1.mp3
madera;Sustancia dura y fibrosa que forma el tronco y las ramas de los árboles.;3;2023-07-22;2023-08-05;;;;bois;70;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ma/madera_es_us_1.mp3
detienes;Interrumpir algo, impedir que siga adelante.;5;2023-07-22;2023-08-19;;;;vous arrêtez;71;N/A
seda;Hilo fino formado por el líquido que segregan algunos gusanos y arácnidos que se solidifica en contacto con el aire.;2;2023-07-27;2023-08-03;;;;soie;72;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/se/seda_es_us_1.mp3
toujours;Dans la totalité du temps considéré (la vie, le souvenir, etc.).;1;2023-05-31;2023-06-04;1;2023-05-31;;siempre;73;N/A
apenas;Indica que casi no se produce lo que expresa el verbo, o que se produce en el menor grado posible.;4;2023-08-02;2023-08-23;;;;à peine;74;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ap/apenas_es_us_1.mp3
sobrina;Respecto de una persona, hijo o hija de su hermano o hermana.;5;2023-07-15;2023-08-12;;;;nièce;75;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/so/sobrina_es_us_1.mp3
cerrados;adj. Estricto, rígido, terminante.;4;2023-08-03;2023-08-24;;;;fermé;76;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ce/cerrados_es_us_1.mp3
das;N/A;5;2023-07-08;2023-08-07;;;;Nous voulons;77;N/A
tragaluz;Ventana abierta en un techo o en la parte superior de una pared, generalmente con derrame hacia adentro.;4;2023-07-24;2023-08-14;;;;lucarne;78;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/tr/tragaluz_es_us_1.mp3
candelabro;Utensilio que sirve para mantener derecha la vela o candela, y consiste en un cilindro hueco unido a un pie por una barreta o columnilla. 2.;2;2023-07-29;2023-08-05;;;;lustre;79;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ca/candelabro_es_us_1.mp3
hombros;humerus. m. Parte superior y lateral del tronco del ser humano y de los cuadrumanos, de donde nace el brazo.;5;2023-07-22;2023-08-19;;;;épaules;80;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ho/hombros_es_us_1.mp3
siglo;m. Período de 100 años.;5;2023-07-15;2023-08-12;;;;siècle;81;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/si/siglo_es_us_1.mp3
vestida;Cubrir o adornar el cuerpo con ropa. U.;5;2023-07-18;2023-08-15;;;;vêtu;82;N/A
caes;:Ir o inclinarse hacia abajo por la fuerza de la gravedad: y :perder el equilibrio hasta dar en tierra:.;4;2023-08-01;2023-08-22;;;;N/A;83;N/A
folio;Hoja de papel que resulta de cortar por la mitad un pliego, y cuyo tamaño equivale a dos cuartillas.;2;2023-07-27;2023-08-03;;;;Facture;84;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/fo/folio_es_us_1.mp3
muñeca;Figura de persona, hecha generalmente de plástico, trapo o goma, que sirve de juguete o de adorno.;6;2023-07-18;2023-08-22;;;;poupée;85;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/mu/mu%C3%B1eca_es_us_1.mp3
historiador;Especialista en historia (? disciplina). m.;6;2023-07-22;2023-08-26;;;;historien;86;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/hi/historiador_es_us_1.mp3
antiguo;Que existe desde hace mucho tiempo.;6;2023-07-22;2023-08-26;;;;ancien;87;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/an/antiguo_es_us_1.mp3
cigarrillo;m. Cigarro pequeño de picadura envuelta en un papel de fumar. m.;6;2023-07-31;2023-09-04;;;;cigarette;88;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ci/cigarrillo_es_us_1.mp3
repites;Como transitivo, :volver a hacer [lo que se había hecho] o a decir [lo que se había dicho]:: y, como intransitivo pronominal, :volver a suceder: y, dicho de una persona, :hacer o decir siempre las mismas cosas:.;4;2023-07-25;2023-08-15;;;;N/A;89;N/A
puntas;f. Extremo agudo de algo.;2;2023-07-28;2023-08-04;;;;N/A;90;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/pu/puntas_es_us_1.mp3
zapatos;m. Calzado que no pasa del tobillo, con la parte inferior de suela y lo demás de piel, fieltro, paño u otro tejido, más o menos escotado por el empeine.;5;2023-07-15;2023-08-12;;;;chaussures;91;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/za/zapatos_es_us_1.mp3
cobre;Elemento químico de número atómico 29, masa atómica 63,54 y símbolo Cu : es un metal de color pardo rojizo, brillante, dúctil, muy maleable, resistente a la corrosión y buen conductor de la electricidad y el calor: es el metal de más usos y se utiliza para la fabricación de cables, líneas de alta tensión, maquinaria eléctrica y en aleaciones, siendo las dos más importantes el latón, una aleación con cinc, y el bronce, una aleación con estaño.;2;2023-07-29;2023-08-05;;;;cuivre;92;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/co/cobre_es_us_1.mp3
colocar;Poner a una persona o una cosa en un lugar, posición o situación determinados.;2;2023-07-28;2023-08-04;;;;lieu;93;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/co/colocar_es_us_1.mp3
demás;Adjetivo o pronombre indefinido invariable que designa siempre la parte restante respecto de un todo. Significa :(lo) restante, (lo) otro: y se escribe siempre en una sola palabra.;2;2023-07-29;2023-08-05;;;;le reste;94;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/de/dem%C3%A1s_es_us_1.mp3
bajas;Disminución de la magnitud, el nivel, la cuantía, el valor o el precio de una cosa.;3;2023-07-30;2023-08-13;;;;faible;95;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ba/bajas_es_us_1.mp3
humedad;Condición o estado de húmedo.;6;2023-07-22;2023-08-26;;;;humidité;96;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/hu/humedad_es_us_1.mp3
escalera;Construcción o estructura constituida por una sucesión de escalones que sirve para subir y bajar los pisos de un edificio o para poner en comunicación dos superficies a distinto nivel.;5;2023-07-22;2023-08-19;;;;Escalier;97;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/es/escalera_es_us_1.mp3
ilumina;tr. Alumbrar, dar luz o bañar de resplandor.;5;2023-07-22;2023-08-19;;;;N/A;98;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/il/iluminar_es_us_1.mp3
golpe;Encuentro más o menos fuerte de dos o más cuerpos, de los cuales al menos uno está en movimiento, en especial el provocado por una persona que utiliza su cuerpo, una parte de él o un objeto enviado contra una persona o una cosa.;5;2023-07-27;2023-08-24;;;;claquer;99;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/go/golpe_es_us_1.mp3
frascos;m. Vaso de cuello recogido, hecho de vidrio u otra materia, que sirve para contener líquidos, sustancias en polvo, comprimidos, etc.;2;2023-07-31;2023-08-07;;;;bocaux;100;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/fr/frascos_es_us_1.mp3
vidrios;Sustancia transparente o translúcida, dura y frágil a la temperatura ordinaria, que se obtiene fundiendo una mezcla de sílice con potasa o sosa y pequeñas cantidades de otras bases, y a la cual pueden darse distintas coloraciones mediante la adición de óxidos metálicos: se emplea para fabricar recipientes, materiales de construcción, lentes ópticas, etc.;1;2023-08-01;2023-08-04;;;;lunettes;101;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/vi/vidrios_es_us_1.mp3
fait;Qui présente tel aspect.;1;2023-05-31;2023-06-04;1;2023-05-31;;hacer;102;N/A
cuello;Parte del cuerpo que une la cabeza con el tronco, en el ser humano y otros vertebrados.;5;2023-07-22;2023-08-19;;;;cou;103;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/cu/cuello_es_us_1.mp3
edredones;m. Cobertor relleno de plumón, o de algodón, miraguano, etc.;6;2023-07-22;2023-08-26;;;;N/A;104;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ed/edredones_es_us_1.mp3
migajas;f. Porción pequeña y menuda de algo.;3;2023-07-30;2023-08-13;;;;les miettes;105;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/mi/migajas_es_us_1.mp3
muera;Llegar al término de la vida. U. t. c. prnl.;6;2023-07-22;2023-08-26;;;;mourir;106;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/mu/muera_es_us_1.mp3
mantiene;tr. Conservar algo en su ser, darle vigor y permanencia.;5;2023-07-22;2023-08-19;;;;maintient;107;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ma/mantener_es_us_1.mp3
seguida;adj. Continuo, sucesivo, sin intermisión de lugar o tiempo.;5;2023-07-22;2023-08-19;;;;suivi;108;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/se/seguida_es_us_1.mp3
levantas;tr. Mover hacia arriba algo. U.;5;2023-07-22;2023-08-19;;;;vous vous levez;109;N/A
espejo;Superficie de cristal, cubierta en su cara posterior por una capa de mercurio o por una plancha de metal, en la que se reflejan la luz y las imágenes de los objetos que hay delante.;4;2023-07-29;2023-08-19;;;;miroir;110;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/es/espejo_es_us_1.mp3
pasas;Uva seca enjugada naturalmente en la vid, o artificialmente al sol, o cociéndola en lejía. 2.;2;2023-07-31;2023-08-07;;;;raisins secs;111;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/pa/pasas_es_us_1.mp3
consultas;tr. Examinar, tratar un asunto con una o varias personas.;1;2023-05-31;2023-06-04;1;2023-05-31;;N/A;112;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/co/consultas_es_us_1.mp3
facciones;f. Grupo de personas unidas por ideas o intereses comunes dentro de una agrupación o colectividad.;5;2023-07-23;2023-08-20;;;;factions;113;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/fa/facciones_es_us_1.mp3
círculo;Figura geométrica delimitada por una circunferencia.;6;2023-07-22;2023-08-26;;;;cercle;114;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/c%C3%AD/c%C3%ADrculo_es_us_1.mp3
fuera;En la parte exterior de un espacio, real o imaginario, especialmente si se trata de un espacio cerrado.;4;2023-07-31;2023-08-21;;;;dehors;115;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/fu/fuera_es_us_1.mp3
ante;Alce (mamífero).;4;2023-07-25;2023-08-15;;;;en vue de;116;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/an/ante_es_us_1.mp3
cristo;Representación o imagen de Jesucristo.;6;2023-07-22;2023-08-26;;;;Christ;117;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/cr/cristo_es_us_1.mp3
acercas;loc. prepos. Sobre aquello de que se trata, en orden a ello.;4;2023-07-30;2023-08-20;;;;approche;118;N/A
sangre;Líquido, de color rojo en los vertebrados, que, impulsado por el corazón, circula por los vasos sanguíneos del cuerpo de las personas y los animales, transportando oxígeno, alimentos y productos de desecho.;6;2023-07-22;2023-08-26;;;;sang;119;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/sa/sangre_es_us_1.mp3
rincón;Ángulo entrante que se forma donde se encuentran dos o tres superficies, especialmente dos paredes.;2;2023-07-30;2023-08-06;;;;coin;120;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ri/rinc%C3%B3n_es_us_1.mp3
baúl;Caja grande de base rectangular, con una tapa generalmente abovedada que gira sobre bisagras y provista a veces de cerraduras o candados: se usa para guardar objetos, especialmente ropa, o para llevar equipaje.;2;2023-08-01;2023-08-08;;;;tronc;121;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ba/ba%C3%BAl_es_us_1.mp3
arcón;Caja, comúnmente de madera sin forrar y con tapa llana que aseguran varios goznes o bisagras por uno de los lados, y uno o más candados o cerraduras por el opuesto.;2;2023-08-01;2023-08-08;;;;bunker;122;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ar/arc%C3%B3n_es_us_1.mp3
